startYear,startMonth,startDay,startTime,endYear,endMonth,endDay,endTime,displayDate,headline,text,mediaUrl,mediaCredit,mediaCaption,mediaThumbail,type,group,backgroundUrl,backgroundColor
,,,,,,,,,History of Labor Rights,,,,,,title,,https://www.google.com/search?q=1+de+mayo&tbm=isch&ved=2ahUKEwjZp5_otNPwAhWDgM4BHeyOCiAQ2-cCegQIABAA&oq=1+de+mayo&gs_lcp=CgNpbWcQAzIECAAQEzIECAAQEzIGCAAQHhATMgYIABAeEBMyBggAEB4QEzIGCAAQHhATMgYIABAeEBMyBggAEB4QEzIGCAAQHhATMgYIABAeEBM6BAgjECdQ2L0EWJLGBGC5yARoAHAAeACAAYcBiAGcB5IBAzYuM5gBAKABAaoBC2d3cy13aXotaW1nwAEB&sclient=img&ei=T8ujYJnEJoOBur4P7J2qgAI&bih=821&biw=1440#imgrc=j5A2uhl8DSOsdM&imgdii=9m-x0wJ9iWjNqM ,
1873,7,24,,,,,,,Benot Law,"After the great changes that the Industrial Revolution made in work, it was necessary to begin to regulate the labor relations between the employer and the employees. In 1873 was created the first law specifically for this purpose in Spain: the Benot law. Its fundamental purpose was to protect minors from the abusive conditions in which they were employed in industrial establishments.
",7941db84e1c6290d6c7cbcaf76174d5f (514×480),,,,,,,
1900,1,30,,,,,,,Work Accident Act,"This law is considered the first law that regulates accidents at work in Spain, creating insurance for it and excludes the absolute relevance of the concept of fault, until then prevailing, and adds the concept of professional risk. This law is a great advance since it supposes the acceptance of the theory of professional risk, which led to a social transformation and influenced the construction of the basic concepts of Labor Law.
",50278541.webp (720×1034) (todocoleccion.online),,,,,,,
1919,4,3,,,,,,,"Royal Decree of April 3, 1919","The Royal Decree of April 3, 1919 regulated that ""the maximum legal working day will be eight hours a day or forty-eight a week in all jobs."" This law was an achievement as a result of the fight to reduce and regulate the working day.","8hoursday banner 1856 - Jornada de ocho horas - Wikipedia, la enciclopedia libre",,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
2011,12,11,,,,,,,Regulatory Law of the Social Jurisdiction,"The Regulatory Law of the Social Jurisdiction that came into force on the 11th of december of 2011, is a law that seeks to regulate labor procedures, as well as the resolution of conflicts, effective judicial protection and legal certainty in the field of labor law.",https://www.google.com/search?q=Ley+Reguladora+de+la+jurisdicci%C3%B3n+social+(Ley+36/2011)&sxsrf=ALeKk03rbaiIU3EEgsnIJzppl6nPHGgmQg:1621345714262&source=lnms&tbm=isch&sa=X&ved=2ahUKEwit3-y6r9PwAhWRyYUKHRzhAbEQ_AUoA3oECAEQBQ&biw=1440&bih=821#imgrc=NGuQKPvQb2kx-M,Dykinson,,,,,,
2015,10,23,,,,,,,Workers' Statute (Royal Legislative Decree 2/2015),"The Workers' Statute contains the fundamental rules of labor law in Spain. It was approved for the first time in 1980. Since then it has undergone several modifications, being in force the Royal Legislative Decree 2/2015, of October 23. Mainly, the statute covers the entire inherent process of an employment contract, from its signing, its obligations and rights to the events that occur after the termination of the contract. In addition, aspects such as working hours, employee representation and salaries are also covered.",https://www.google.com/search?q=estatuto+de+los+trabajadores&sxsrf=ALeKk007DdFYlP-SPgrzj3XrI-1NVYi9ig:1621346659433&source=lnms&tbm=isch&sa=X&ved=2ahUKEwizt8X9stPwAhUUXsAKHWLjAXgQ_AUoAXoECAEQAw&biw=1440&bih=821#imgrc=cr_hYCqY1S9taM ,BOE,,,,,,
2015,10,30,,,,,,,General Social Security Law (Royal Legislative Decree 8/2015),"The Royal Legislative Decree 8/2015 of October 30 2015, is the result of approving the revised text of the General Social Security Law. In Spain the Social Security System was created back in 1966. After several years, due to this law several agencies were created to manage the different situations of need that the worker can suffer through a single payment to Social Security.",https://www.google.com/search?q=Ley+General+de+la+Seguridad+Social+(Real+Decreto+Legislativo+8/2015)&sxsrf=ALeKk0047Qgddo83HfJqB9G1DaAZCyOeaw:1621347290498&source=lnms&tbm=isch&sa=X&ved=2ahUKEwiP2LqqtdPwAhXgQUEAHauOBiEQ_AUoAXoECAEQAw&biw=1440&bih=821#imgrc=zG1ck0devy9pjM ,Sepe Prestaciones,,,,,,
